donor_id,library_id,library_sequencing_run,library_preparation_batch
P79,"GSM7475120,GSM7500429","SRR24916189,SRR24916190,SRR24975389,SRR24975390,SRR24975391,SRR24975392",NovaSeq_6000
P80,GSM7500430,"SRR24975383,SRR24975384,SRR24975385,SRR24975386",NovaSeq_6000
P81,GSM7500431,"SRR24975367,SRR24975368,SRR24975369,SRR24975370",NovaSeq_6000
P82,"GSM7475121,GSM7500432","SRR24916187,SRR24916188,SRR24975371,SRR24975372,SRR24975373,SRR24975374",NovaSeq_6000
P83,GSM7500433,"SRR24975296,SRR24975297,SRR24975397,SRR24975398",NovaSeq_6000
P84,GSM7500434,"SRR24975328,SRR24975329,SRR24975330,SRR24975331",NovaSeq_6000
P85,"GSM7475119,GSM7500435","SRR24916191,SRR24916192,SRR24975325,SRR24975326,SRR24975387,SRR24975388",NovaSeq_6000
P86,GSM7500436,"SRR24975310,SRR24975311,SRR24975312,SRR24975327",NovaSeq_6000
P87,GSM7500437,"SRR24975321,SRR24975322,SRR24975323,SRR24975324",NovaSeq_6000
P88,GSM7500438,"SRR24975317,SRR24975318,SRR24975319,SRR24975320",NovaSeq_6000
P89,GSM7500439,"SRR24975313,SRR24975314,SRR24975315,SRR24975316",NovaSeq_6000
P90,GSM7500440,"SRR24975375,SRR24975376,SRR24975377,SRR24975378",NovaSeq_6000
P91,GSM7500441,"SRR24975306,SRR24975307,SRR24975308,SRR24975309",NovaSeq_6000
P92,GSM7500442,"SRR24975302,SRR24975303,SRR24975304,SRR24975305",NovaSeq_6000
P93,GSM7500443,"SRR24975298,SRR24975299,SRR24975300,SRR24975301",NovaSeq_6000
P94,GSM7500444,"SRR24975295,SRR24975379,SRR24975380,SRR24975381",NovaSeq_6000
P95,GSM7500445,"SRR24975363,SRR24975364,SRR24975365,SRR24975366",NovaSeq_6000
P96,GSM7500446,"SRR24975359,SRR24975360,SRR24975361,SRR24975362",NovaSeq_6000
P97,GSM7500447,"SRR24975355,SRR24975356,SRR24975357,SRR24975358",NovaSeq_6000
P98,GSM7500448,"SRR24975351,SRR24975352,SRR24975353,SRR24975354",NovaSeq_6000
P99,GSM7500449,"SRR24975335,SRR24975336,SRR24975337,SRR24975338",NovaSeq_6000
