run_accession	experiment_accession	sample_accession	sample_alias	library_name	library_strategy	instrument_model	instrument_platform	read_count	base_count	experiment_title	sample_title
SRR24916206	SRX20677092	SAMN35724369	GSM7475112	GSM7475112	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	461115960	59945074800	Illumina NovaSeq 6000 sequencing: GSM7475112: P10, replicate_1, contra, frozen tissue OCT, visium Homo sapiens RNA-Seq	P10, replicate_1, contra, frozen tissue OCT, visium
SRR24975292	SRX20733009	SAMN35813495	GSM7500500	GSM7500500	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	239095911	21757727901	Illumina NovaSeq 6000 sequencing: GSM7500500: hbca_c49,P43,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c49,P43,replicate_1,contra,overnight_digestion
SRR24975295	SRX20733007	SAMN35813551	GSM7500444	GSM7500444	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	100827091	9175265281	Illumina NovaSeq 6000 sequencing: GSM7500444: hbca_c135,P94,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c135,P94,replicate_1,right,3hr_digestion
SRR24975298	SRX20733005	SAMN35813552	GSM7500443	GSM7500443	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	106290134	9672402194	Illumina NovaSeq 6000 sequencing: GSM7500443: hbca_c134,P93,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c134,P93,replicate_1,right,2hr_digstion
SRR24975299	SRX20733005	SAMN35813552	GSM7500443	GSM7500443	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	109494828	9964029348	Illumina NovaSeq 6000 sequencing: GSM7500443: hbca_c134,P93,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c134,P93,replicate_1,right,2hr_digstion
SRR24975307	SRX20733003	SAMN35813554	GSM7500441	GSM7500441	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	54526028	4961868548	Illumina NovaSeq 6000 sequencing: GSM7500441: hbca_c132,P91,replicate_1,left,6hr_digestion Homo sapiens RNA-Seq	hbca_c132,P91,replicate_1,left,6hr_digestion
SRR24975308	SRX20733003	SAMN35813554	GSM7500441	GSM7500441	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	53619173	4879344743	Illumina NovaSeq 6000 sequencing: GSM7500441: hbca_c132,P91,replicate_1,left,6hr_digestion Homo sapiens RNA-Seq	hbca_c132,P91,replicate_1,left,6hr_digestion
SRR24975309	SRX20733003	SAMN35813554	GSM7500441	GSM7500441	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	53680852	4884957532	Illumina NovaSeq 6000 sequencing: GSM7500441: hbca_c132,P91,replicate_1,left,6hr_digestion Homo sapiens RNA-Seq	hbca_c132,P91,replicate_1,left,6hr_digestion
SRR24975310	SRX20733002	SAMN35813559	GSM7500436	GSM7500436	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	92535207	8420703837	Illumina NovaSeq 6000 sequencing: GSM7500436: hbca_c127,P86,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c127,P86,replicate_1,right,2hr_digstion
SRR24975314	SRX20733001	SAMN35813556	GSM7500439	GSM7500439	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	92476851	8415393441	Illumina NovaSeq 6000 sequencing: GSM7500439: hbca_c130,P89,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c130,P89,replicate_1,right,2hr_digstion
SRR24975317	SRX20733000	SAMN35813557	GSM7500438	GSM7500438	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	90053486	8194867226	Illumina NovaSeq 6000 sequencing: GSM7500438: hbca_c129,P88,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c129,P88,replicate_1,right,3hr_digestion
SRR24975318	SRX20733000	SAMN35813557	GSM7500438	GSM7500438	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	89694967	8162241997	Illumina NovaSeq 6000 sequencing: GSM7500438: hbca_c129,P88,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c129,P88,replicate_1,right,3hr_digestion
SRR24975325	SRX20732998	SAMN35813560	GSM7500435	GSM7500435	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	102584638	9335202058	Illumina NovaSeq 6000 sequencing: GSM7500435: hbca_c126,P85,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c126,P85,replicate_1,right,2hr_digstion
SRR24975326	SRX20732998	SAMN35813560	GSM7500435	GSM7500435	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	100734954	9166880814	Illumina NovaSeq 6000 sequencing: GSM7500435: hbca_c126,P85,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c126,P85,replicate_1,right,2hr_digstion
SRR24975327	SRX20733002	SAMN35813559	GSM7500436	GSM7500436	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	89032453	8101953223	Illumina NovaSeq 6000 sequencing: GSM7500436: hbca_c127,P86,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c127,P86,replicate_1,right,2hr_digstion
SRR24975329	SRX20732997	SAMN35813561	GSM7500434	GSM7500434	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	89332341	8129243031	Illumina NovaSeq 6000 sequencing: GSM7500434: hbca_c125,P84,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c125,P84,replicate_1,right,2hr_digstion
SRR24975331	SRX20732997	SAMN35813561	GSM7500434	GSM7500434	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	87412921	7954575811	Illumina NovaSeq 6000 sequencing: GSM7500434: hbca_c125,P84,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c125,P84,replicate_1,right,2hr_digstion
SRR24975332	SRX20732996	SAMN35813541	GSM7500454	GSM7500454	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	101016450	9192496950	Illumina NovaSeq 6000 sequencing: GSM7500454: hbca_c145,P104,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c145,P104,replicate_1,right,2hr_digstion
SRR24975336	SRX20732994	SAMN35813546	GSM7500449	GSM7500449	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	98342524	8949169684	Illumina NovaSeq 6000 sequencing: GSM7500449: hbca_c140,P99,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c140,P99,replicate_1,left,3hr_digestion
SRR24975337	SRX20732994	SAMN35813546	GSM7500449	GSM7500449	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	97280626	8852536966	Illumina NovaSeq 6000 sequencing: GSM7500449: hbca_c140,P99,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c140,P99,replicate_1,left,3hr_digestion
SRR24975340	SRX20732993	SAMN35813543	GSM7500452	GSM7500452	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	103286143	9399039013	Illumina NovaSeq 6000 sequencing: GSM7500452: hbca_c143,P102,replicate_1,left,2hr_digstion Homo sapiens RNA-Seq	hbca_c143,P102,replicate_1,left,2hr_digstion
SRR24975346	SRX20732992	SAMN35813544	GSM7500451	GSM7500451	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	113357710	10315551610	Illumina NovaSeq 6000 sequencing: GSM7500451: hbca_c142,P101,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c142,P101,replicate_1,right,3hr_digestion
SRR24975347	SRX20732991	SAMN35813545	GSM7500450	GSM7500450	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	106611839	9701677349	Illumina NovaSeq 6000 sequencing: GSM7500450: hbca_c141,P100,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c141,P100,replicate_1,right,2hr_digstion
SRR24975348	SRX20732991	SAMN35813545	GSM7500450	GSM7500450	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	109638923	9977141993	Illumina NovaSeq 6000 sequencing: GSM7500450: hbca_c141,P100,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c141,P100,replicate_1,right,2hr_digstion
SRR24975349	SRX20732991	SAMN35813545	GSM7500450	GSM7500450	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	108334597	9858448327	Illumina NovaSeq 6000 sequencing: GSM7500450: hbca_c141,P100,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c141,P100,replicate_1,right,2hr_digstion
SRR24975350	SRX20732991	SAMN35813545	GSM7500450	GSM7500450	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	108312978	9856480998	Illumina NovaSeq 6000 sequencing: GSM7500450: hbca_c141,P100,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c141,P100,replicate_1,right,2hr_digstion
SRR24975351	SRX20732990	SAMN35813547	GSM7500448	GSM7500448	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	94025533	8556323503	Illumina NovaSeq 6000 sequencing: GSM7500448: hbca_c139,P98,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c139,P98,replicate_1,left,3hr_digestion
SRR24975355	SRX20732989	SAMN35813548	GSM7500447	GSM7500447	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	110219872	10030008352	Illumina NovaSeq 6000 sequencing: GSM7500447: hbca_c138,P97,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c138,P97,replicate_1,right,3hr_digestion
SRR24975362	SRX20732988	SAMN35813549	GSM7500446	GSM7500446	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	103303930	9400657630	Illumina NovaSeq 6000 sequencing: GSM7500446: hbca_c137,P96,replicate_1,left,2hr_digstion Homo sapiens RNA-Seq	hbca_c137,P96,replicate_1,left,2hr_digstion
SRR24975363	SRX20732987	SAMN35813550	GSM7500445	GSM7500445	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	100626367	9156999397	Illumina NovaSeq 6000 sequencing: GSM7500445: hbca_c136,P95,replicate_1,left,6hr_digestion Homo sapiens RNA-Seq	hbca_c136,P95,replicate_1,left,6hr_digestion
